,2021 National Employment Matrix title,2021 National Employment Matrix code,Occupation type,"Employment, 2021","Employment, 2031","Employment distribution, percent, 2021","Employment distribution, percent, 2031","Employment change, 2021–31","Percent employment change, 2021–31","Occupational openings, 2021–31 annual average"
1062,Heavy and tractor-trailer truck drivers,53-3032,Line item,2094.7,2185.6,1.3,1.3,90.9,4.3,259.9
1063,Light truck drivers,53-3033,Line item,1109.7,1220.4,0.7,0.7,110.7,10.0,147.6
1065,"Bus drivers, school",53-3051,Line item,354.7,378.2,0.2,0.2,23.4,6.6,59.5
1066,"Bus drivers, transit and intercity",53-3052,Line item,159.9,173.0,0.1,0.1,13.1,8.2,23.3
1067,Shuttle drivers and chauffeurs,53-3053,Line item,189.5,215.2,0.1,0.1,25.8,13.6,29.0
1068,Taxi drivers,53-3054,Line item,128.5,165.1,0.1,0.1,36.6,28.5,19.4
1069,"Motor vehicle operators, all other",53-3099,Line item,68.4,74.1,0.0,0.0,5.7,8.3,11.9
1072,Locomotive engineers,53-4011,Line item,26.6,27.9,0.0,0.0,1.3,4.7,2.6
1073,"Rail yard engineers, dinkey operators, and hostlers",53-4013,Line item,3.8,3.8,0.0,0.0,0.1,2.1,0.4
1074,"Railroad brake, signal, and switch operators and locomotive firers",53-4022,Line item,11.8,11.9,0.0,0.0,0.1,1.2,1.3
1075,Railroad conductors and yardmasters,53-4031,Line item,34.3,35.9,0.0,0.0,1.6,4.7,3.2
1076,Subway and streetcar operators,53-4041,Line item,10.6,10.9,0.0,0.0,0.4,3.5,1.2
1077,"Rail transportation workers, all other",53-4099,Line item,1.2,1.2,0.0,0.0,0.0,-1.2,0.1
1079,Sailors and marine oilers,53-5011,Line item,27.6,27.7,0.0,0.0,0.1,0.4,3.3
1081,"Captains, mates, and pilots of water vessels",53-5021,Line item,36.8,37.2,0.0,0.0,0.4,1.2,4.1
1082,Motorboat operators,53-5022,Line item,3.1,3.1,0.0,0.0,0.0,-0.2,0.3
1083,Ship engineers,53-5031,Line item,7.9,7.8,0.0,0.0,-0.1,-0.7,0.9
1085,Bridge and lock tenders,53-6011,Line item,4.2,4.2,0.0,0.0,0.0,0.0,0.5
1086,Parking attendants,53-6021,Line item,95.9,101.3,0.1,0.1,5.4,5.6,14.8
1088,Automotive and watercraft service attendants,53-6031,Line item,113.6,113.2,0.1,0.1,-0.4,-0.4,17.7
1089,Aircraft service attendants,53-6032,Line item,12.3,13.6,0.0,0.0,1.3,10.7,2.2
1090,Traffic technicians,53-6041,Line item,8.0,8.2,0.0,0.0,0.2,2.3,1.0
1091,Transportation inspectors,53-6051,Line item,24.9,25.4,0.0,0.0,0.5,1.8,2.8
1092,Passenger attendants,53-6061,Line item,21.5,21.7,0.0,0.0,0.2,0.8,4.0
1093,"Transportation workers, all other",53-6099,Line item,14.5,15.1,0.0,0.0,0.7,4.6,1.9
1095,Conveyor operators and tenders,53-7011,Line item,34.6,37.0,0.0,0.0,2.4,7.0,5.0
1096,Crane and tower operators,53-7021,Line item,45.1,45.2,0.0,0.0,0.2,0.4,4.8
1097,Dredge operators,53-7031,Line item,2.0,2.1,0.0,0.0,0.1,2.9,0.3
1098,Hoist and winch operators,53-7041,Line item,3.2,3.2,0.0,0.0,0.0,1.0,0.4
1099,Industrial truck and tractor operators,53-7051,Line item,767.4,821.6,0.5,0.5,54.2,7.1,95.3
1101,Cleaners of vehicles and equipment,53-7061,Line item,391.7,414.3,0.2,0.2,22.7,5.8,59.9
1102,"Laborers and freight, stock, and material movers, hand",53-7062,Line item,2806.5,2974.8,1.8,1.8,168.4,6.0,421.9
1103,Machine feeders and offbearers,53-7063,Line item,61.2,65.0,0.0,0.0,3.9,6.3,10.8
1104,"Packers and packagers, hand",53-7064,Line item,602.3,600.3,0.4,0.4,-2.0,-0.3,92.4
1105,Stockers and order fillers,53-7065,Line item,2472.7,2630.6,1.6,1.6,157.9,6.4,450.4
1107,Gas compressor and gas pumping station operators,53-7071,Line item,3.0,3.0,0.0,0.0,0.0,-0.1,0.4
1108,"Pump operators, except wellhead pumpers",53-7072,Line item,11.0,12.3,0.0,0.0,1.3,11.4,1.5
1109,Wellhead pumpers,53-7073,Line item,18.0,18.6,0.0,0.0,0.6,3.3,2.3
1110,Refuse and recyclable material collectors,53-7081,Line item,138.7,146.2,0.1,0.1,7.5,5.4,20.6
1111,"Tank car, truck, and ship loaders",53-7121,Line item,13.5,13.1,0.0,0.0,-0.3,-2.5,1.7
1112,"Material moving workers, all other",53-7199,Line item,25.0,26.0,0.0,0.0,1.1,4.3,3.5
